id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,E1,E2,E3,E4,E5,age,gender,edu,income,marital_status,religion, employment,employment_condition
154,3,2,3,2,2,2,3,3,4,3,3,3,2,2,2,4,3,3,2,2,4,4,4,3,3,3,2,3,3,2,3,2,1,1,1,2
155,2,3,3,4,2,3,4,3,3,2,4,2,2,2,4,3,2,3,4,1,3,2,1,2,2,2,3,3,1,2,4,2,1,3,1,2
156,3,3,3,3,2,2,3,3,3,4,3,3,2,2,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,3,2,1,1,1,2
157,3,4,3,3,3,3,3,3,3,4,3,4,1,1,1,2,2,2,3,3,3,3,3,2,2,3,3,3,3,1,4,3,3,4,2,
158,2,4,2,3,3,3,2,2,3,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,2,1,2,4,2,1,2,2,
159,4,4,3,3,4,3,2,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,2,4,4,4,4,4,2,2,4,4,2,1,2,
160,4,4,4,4,2,5,3,3,2,1,4,4,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,1,2,4,5,1,2,2,
161,2,2,2,2,2,2,3,3,3,3,3,2,2,3,2,3,2,3,2,4,2,3,3,3,3,3,2,3,3,2,4,2,1,1,1,3
162,4,4,2,3,3,3,3,3,2,3,3,2,2,1,2,4,3,4,2,2,3,3,2,2,2,3,2,3,1,2,4,2,4,4,1,1
163,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,4,3,3,3,3,3,2,2,4,2,4,1,1,3
164,4,4,4,4,3,4,2,2,4,3,3,4,2,2,2,2,2,2,4,3,4,3,4,3,3,3,3,3,2,2,4,2,4,1,1,3
165,2,3,2,3,2,4,4,3,3,3,4,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3,4,4,1,2,4,2,1,2,1,1
166,1,1,1,2,2,2,3,3,5,3,3,2,1,4,3,3,3,2,2,2,4,2,2,3,3,3,3,4,3,2,3,2,1,2,1,4
167,4,3,3,2,3,4,4,4,4,4,4,4,3,2,2,2,2,2,2,3,3,3,3,4,4,4,3,4,2,2,3,2,1,2,1,3
